State/UT,Total Confirmed cases,Cured/Discharged/Migrated,Deaths
Andaman and Nicobar Islands,9,0,0
Andhra Pradesh,19,1,0
Bihar,11,0,1
Chandigarh,8,0,0
Chattisgarh,7,0,0
Delhi,53,6,2
Goa,5,0,0
Gujarat,58,1,5
Haryana,33,17,0
Himachal Pradesh,3,0,1
Jammu and Kashmir,31,1,2
Karnataka,80,5,3
Kerala,194,19,1
Ladakh,13,3,0
Madhya Pradesh,33,0,2
Maharashtra,193,25,8
Manipur,1,0,0
Mizoram,1,0,0
Odisha,3,0,0
Puducherry,1,0,0
Punjab,38,1,1
Rajasthan,57,3,0
Tamil Nadu,50,4,1
Telengana,69,1,1
Uttar Pradesh,75,11,0
Uttarakhand,7,2,0
West Bengal,19,0,1
India,1071,100,29
