State/UT,Total Confirmed cases,Cured/Discharged/Migrated,Deaths
Andhra Pradesh,483,16,9
Andaman and Nicobar Islands,11,10,0
Arunachal Pradesh,1,0,0
Assam,32,0,1
Bihar,66,29,1
Chandigarh,21,7,0
Chattisgarh,33,13,0
Delhi,1561,30,30
Goa,7,5,0
Gujarat,650,59,28
Haryana,199,34,3
Himachal Pradesh,33,13,1
Jammu and Kashmir,278,30,4
Jharkhand,27,0,2
Karnataka,260,71,10
Kerala,387,211,3
Ladakh,17,10,0
Madhya Pradesh,730,51,50
Maharashtra,2687,259,178
Manipur,2,1,0
Meghalaya,1,0,0
Mizoram,1,0,0
Nagaland,0,0,0
Odisha,60,18,1
Puducherry,7,1,0
Punjab,176,14,12
Rajasthan,969,147,3
Tamil Nadu,1204,81,12
Telengana,624,100,17
Tripura,2,0,0
Uttarakhand,37,9,0
Uttar Pradesh,660,50,5
West Bengal,213,37,7
India,11439,1306,377
