State/UT,Total Confirmed cases,Cured/Discharged/Migrated,Deaths
Andaman and Nicobar Islands,33,16,0
Andhra Pradesh,1463,403,33
Arunachal Pradesh,1,1,0
Assam,43,32,1
Bihar,471,98,3
Chandigarh,88,17,0
Chattisgarh,43,36,0
Delhi,3738,1167,61
Goa,7,7,0
Gujarat,4721,735,236
Haryana,360,227,4
Himachal Pradesh,40,30,1
Jammu and Kashmir,639,247,8
Jharkhand,111,20,3
Karnataka,589,251,22
Kerala,497,392,4
Ladakh,22,17,0
Madhya Pradesh,2719,524,145
Maharashtra,11506,1879,485
Manipur,2,2,0
Meghalaya,12,0,1
Mizoram,1,0,0
Odisha,149,55,1
Puducherry,8,5,0
Punjab,480,90,19
Rajasthan,2666,1116,62
Tamil Nadu,2526,1312,28
Telengana,1039,441,26
Tripura,2,2,0
Uttarakhand,58,36,0
Uttar Pradesh,2328,654,42
West Bengal,795,139,33
India,37336,9951,1218
