State/UT,Total Confirmed cases (Indian National),Total Confirmed cases (Foreign National),Cured/Discharged/Migrated,Deaths
Andhra Pradesh,7,0,0,0
Bihar,2,0,0,1
Chattisgarh,1,0,0,0
Delhi,28,1,5,1
Gujarat,29,0,0,1
Haryana,12,14,11,0
Himachal Pradesh,3,0,0,1
Karnataka,33,0,2,1
Kerala,60,7,3,0
Madhya Pradesh,6,0,0,0
Maharashtra,71,3,0,2
Odisha,2,0,0,0
Puducherry,1,0,0,0
Punjab,21,0,0,1
Rajasthan,26,2,3,0
Tamil Nadu,7,2,1,0
Telengana,22,10,1,0
Union Territory of Chandigarh,6,0,0,0
Union Territory of Jammu and Kashmir,4,0,0,0
Union Territory of Ladakh,13,0,0,0
Uttar Pradesh,30,1,9,0
Uttarakhand,3,0,0,0
West Bengal,7,0,0,1
India,394,40,35,9
